iter	Passed	Remaining
793	23385	212240
794	23416	212219
795	23447	212204
796	23474	212151
797	23504	212132
798	23534	212108
799	23567	212111
800	23596	212071
801	23627	212059
802	23658	212038
803	23686	212001
804	23716	211971
805	23743	211923
806	23774	211904
807	23805	211889
808	23834	211862
809	23864	211834
810	23893	211800
811	23922	211765
812	23949	211715
813	23978	211679
814	24009	211662
815	24038	211635
816	24066	211594
817	24096	211570
818	24124	211525
819	24155	211509
820	24185	211479
821	24213	211437
822	24242	211407
823	24271	211373
824	24304	211374
825	24334	211350
826	24368	211361
827	24400	211356
828	24429	211321
829	24461	211313
830	24490	211281
831	24519	211242
832	24548	211210
833	24577	211179
834	24606	211142
835	24635	211108
836	24663	211068
837	24695	211062
838	24723	211022
839	24753	210992
840	24784	210977
841	24813	210940
842	24844	210925
843	24876	210917
844	24906	210895
845	24937	210880
846	24966	210842
847	24995	210812
848	25025	210783
849	25057	210780
850	25086	210747
851	25117	210726
852	25146	210696
853	25178	210683
854	25207	210655
855	25237	210629
856	25269	210618
857	25299	210593
858	25332	210589
859	25362	210568
860	25391	210533
861	25420	210500
862	25450	210476
863	25479	210442
864	25511	210431
865	25543	210420
866	25572	210394
867	25602	210363
868	25633	210346
869	25662	210311
870	25690	210275
871	25721	210252
872	25751	210232
873	25781	210202
874	25809	210161
875	25837	210119
876	25867	210091
877	25896	210062
878	25928	210056
879	25961	210053
880	25988	210000
881	26023	210016
882	26059	210036
883	26095	210060
884	26126	210045
885	26157	210026
886	26187	209997
887	26216	209967
888	26246	209940
889	26274	209901
890	26306	209889
891	26336	209867
892	26368	209858
893	26398	209830
894	26428	209806
895	26460	209791
896	26490	209765
897	26521	209751
898	26550	209715
899	26579	209685
900	26610	209665
901	26639	209633
902	26672	209627
903	26703	209608
904	26733	209587
905	26763	209560
906	26794	209544
907	26825	209518
908	26854	209486
909	26882	209449
910	26914	209440
911	26946	209424
912	26975	209396
913	27005	209367
914	27035	209337
915	27064	209307
916	27093	209274
917	27121	209234
918	27152	209216
919	27180	209174
920	27212	209162
921	27241	209125
922	27272	209105
923	27299	209062
924	27334	209073
925	27365	209050
926	27395	209024
927	27425	209000
928	27456	208983
929	27485	208951
930	27513	208907
931	27545	208896
932	27574	208860
933	27605	208844
934	27634	208808
935	27664	208780
936	27696	208776
937	27726	208746
938	27756	208723
939	27788	208707
940	27817	208674
941	27849	208660
942	27881	208655
943	27915	208655
944	27947	208643
945	27977	208621
946	28007	208594
947	28039	208578
948	28069	208556
949	28100	208531
950	28131	208513
951	28160	208480
952	28189	208449
953	28220	208429
954	28251	208407
955	28282	208390
956	28313	208374
957	28343	208343
958	28374	208329
959	28404	208302
960	28434	208272
961	28461	208222
962	28494	208216
963	28522	208181
964	28551	208147
965	28581	208117
966	28609	208077
967	28638	208043
968	28666	208002
969	28697	207979
970	28725	207944
971	28757	207928
972	28786	207898
973	28816	207869
974	28848	207855
975	28880	207844
976	28910	207819
977	28943	207813
978	28973	207789
979	29002	207751
980	29033	207730
981	29065	207718
982	29094	207683
983	29123	207655
984	29153	207628
985	29185	207610
986	29215	207585
987	29244	207555
988	29276	207542
989	29307	207520
990	29335	207482
991	29366	207463
992	29395	207428
993	29425	207399
994	29454	207362
995	29482	207325
996	29513	207304
997	29545	207293
998	29574	207260
999	29605	207238
1000	29634	207204
